ProjectId,Program,Country,CountryFundingBody,FundingBody,LeadInstitution,StartDate,EndDate,FundingAmount,FundingCurrency
LS/2022/167,Livestock Systems,Australia,,ACIAR,Institute of Development Studies,SEP 2022,JUN 2023,100000,AUD
CS/2020/191,Horticulture,Australia,,ACIAR,,AUG 2022,DEC 2024,845000,AUD
WAC/2021/164,Water,Australia,,ACIAR,Geoscience Australia,JUN 2022,JUN 2023,500000,AUD
WAC/2020/180,Water,Australia,,ACIAR,VIA Design,JUN 2022,JUN 2023,250000,AUD
FST/2021/145,Forestry,Australia,,ACIAR,The Borneo Orangutan Survival Foundation,JUN 2022,DEC 2023,250000,AUD
CROP/2021/130,Crops,Australia,,ACIAR,University of Queensland,JUN 2022,JUN 2024,250000,AUD
LS/2021/158,Livestock Systems,Australia,,ACIAR,CSIRO,APR 2022,JUN 2023,250000,AUD
LS/2021/157,Livestock Systems,Australia,,ACIAR,Kevin Bardosh LLC,APR 2022,JUN 2023,249998,AUD
SLAM/2021/108,Soil and Land Management,Australia,,ACIAR,Charles Darwin University,APR 2022,OCT 2023,250000,AUD
CLIM/2022/108,Climate change,Australia,,ACIAR,SouthSouthNorth (SSN),MAR 2022,JUN 2022,110000,AUD
FST/2021/163,Forestry,Australia,,ACIAR,World Agroforestry Centre,MAR 2022,JUN 2023,700000,AUD
LS/2020/154,Livestock Systems,Australia,,ACIAR,International Centre of Insect Physiology and Ecology,MAR 2022,JUN 2025,3000000,AUD
FST/2021/161,Forestry,Australia,,ACIAR,Environmental Bamboo Foundation,FEB 2022,JUN 2022,250000,AUD
CROP/2021/166,Crops,Australia,,ACIAR,CIMMYT,JAN 2022,JUN 2023,650000,AUD
LS/2018/185,Livestock Systems,Australia,,ACIAR,University of Queensland,JAN 2022,DEC 2025,1770000,AUD
CROP/2021/165,Crops,Australia,,ACIAR,CSIRO,JAN 2022,JUN 2023,250000,AUD
HORT/2020/128,Horticulture,Australia,,ACIAR,Queensland Department of Agriculture and Fisheries,JAN 2022,DEC 2024,538045,AUD
HORT/2020/129,Horticulture,Australia,,ACIAR,University of Queensland,JAN 2022,DEC 2025,1500000,AUD
HORT/2021/159,Horticulture,Australia,,ACIAR,University of the Sunshine Coast,JAN 2022,SEP 2022,250000,AUD
LS/2020/156,Livestock Systems,Australia,,ACIAR,CSIRO,DEC 2021,JUN 2024,1200001,AUD
SLAM/2021/156,Soil and Land Management,Australia,,ACIAR,CABI,DEC 2021,JUN 2022,250000,AUD
FST/2021/162,Forestry,Australia,,ACIAR,University of the Sunshine Coast,DEC 2021,JUN 2022,250000,AUD
CLIM/2021/110,Climate change,Australia,,ACIAR,Queensland University of Technology,DEC 2021,DEC 2022,250001,AUD
FIS/2021/167,Fisheries,Australia,,ACIAR,CSIRO,DEC 2021,JUN 2022,200000,AUD
SLAM/2021/152,Soil and Land Management,Australia,,ACIAR,University of Queensland,DEC 2021,AUG 2022,187000,AUD
CROP/2021/155,Crops,Australia,,ACIAR,CSIRO,DEC 2021,SEP 2022,170000,AUD
CROP/2020/167,Crops,Australia,,ACIAR,University of Sydney,DEC 2021,JUN 2026,1900000,AUD
CROP/2020/165,Crops,Australia,,ACIAR,International Maize and Wheat Improvement Center,NOV 2021,JUN 2026,1500000,AUD
WAC/2020/148,Crops,Australia,,ACIAR,University of Adelaide,OCT 2021,SEP 2026,4599254,AUD
FST/2018/179,Forestry,Australia,,ACIAR,University of Tasmania,SEP 2021,JUN 2025,1752470,AUD
FIS/2021/122,Fisheries,Australia,,ACIAR,Western Sydney University,SEP 2021,JUN 2023,268047,AUD
FIS/2021/113,Fisheries,Australia,,ACIAR,University of Canberra,SEP 2021,JUN 2023,315901,AUD
FIS/2019/124,Fisheries,Australia,,ACIAR,University of Wollongong,SEP 2021,MAR 2025,2444000,AUD
CLIM/2021/109,Climate change,Australia,,ACIAR,The Trustees of Columbia University in the City of New York,SEP 2021,DEC 2022,250000,AUD
FIS/2020/172,Fisheries,Australia,,ACIAR,University of Wollongong,SEP 2021,JUN 2025,7454546,AUD
HORT/2019/165,Horticulture,Australia,,ACIAR,University of the Sunshine Coast,SEP 2021,JUN 2025,1227721,AUD
FIS/2017/032,Fisheries,Australia,,ACIAR,WorldFish Center,SEP 2021,JUL 2025,2225000,AUD
FIS/2021/112,Fisheries,Australia,,ACIAR,University of Technology Sydney,SEP 2021,DEC 2024,1783102,AUD
FIS/2021/121,Fisheries,Australia,,ACIAR,James Cook University,AUG 2021,JUL 2022,206470,AUD
FST/2020/134,Forestry,Australia,,ACIAR,Southern Cross University,JUL 2021,DEC 2022,230000,AUD
CROP/2020/164,Crops,Australia,,ACIAR,University of Western Sydney,JUL 2021,JUN 2026,2140000,AUD
SLAM/2021/105,Soil and Land Management,Australia,,ACIAR,University of Melbourne,JUN 2021,JUN 2022,80000,AUD
