﻿Title:,"Table 2 - HE staff by HE provider and personal characteristics"
Subtitle:,"Academic years 2014/15 to 2021/22"
Reference ID:,DT025 Table 2
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-2
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-2.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2023
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Contract marker,All (excluding atypical) 
,Terms of employment,All 
,Contract levels,All 
,Atypical marker,Non-atypical 
,Academic year,2015/16 
Search:,


"UKPRN","HE provider","Female","Male","Other","Total"
"10007783","The University of Aberdeen","1,905","1,505","0","3,410"
"10007849","Abertay University","295","250","0","540"
"10007856","Aberystwyth University","1,080","1,070","0","2,150"
"10000291","Anglia Ruskin University","1,155","725","0","1,885"
"10007759","Aston University","765","775","0","1,535"
"10007857","Bangor University","1,300","905","0","2,210"
"10000571","Bath Spa University","640","475","0","1,115"
"10007850","The University of Bath","1,570","1,690","0","3,265"
"10007152","University of Bedfordshire","820","495","0","1,315"
"10005343","Queen's University Belfast","1,975","1,765","0","3,740"
"10007760","Birkbeck College","955","920","0","1,880"
"10007140","Birmingham City University","1,450","1,340","0","2,790"
"10006840","The University of Birmingham","3,925","3,505","0","7,430"
"10000712","University College Birmingham","370","225","0","590"
"10007811","Bishop Grosseteste University","190","95","0","285"
"10006841","The University of Bolton","325","310","0","635"
"10000385","The Arts University Bournemouth","275","225","0","500"
"10000824","Bournemouth University","1,030","815","0","1,845"
"10007785","The University of Bradford","1,020","775","0","1,800"
"10000886","The University of Brighton","1,960","1,525","0","3,485"
"10007786","The University of Bristol","3,370","2,870","0","6,240"
"10000961","Brunel University London","1,125","1,180","0","2,305"
"10000975","Buckinghamshire New University","475","350","0","825"
"10007787","The University of Buckingham","230","165","0","395"
"10007788","The University of Cambridge","5,465","5,580","0","11,045"
"10003324","The Institute of Cancer Research","615","435","0","1,050"
"10001143","Canterbury Christ Church University","1,105","690","0","1,795"
"10007814","Cardiff University","3,720","3,105","0","6,825"
"10007854","Cardiff Metropolitan University","865","630","0","1,495"
"10007141","The University of Central Lancashire","1,620","1,185","0","2,805"
"10007848","University of Chester","1,110","685","0","1,795"
"10007137","The University of Chichester","510","380","0","890"
"10001478","City, University of London","1,410","1,565","0","2,975"
"10001653","Conservatoire for Dance and Drama","320","225","0","545"
"10007761","Courtauld Institute of Art","85","45","0","125"
"10001726","Coventry University","2,075","1,790","0","3,865"
"10007822","Cranfield University","710","850","0","1,560"
"10006427","University for the Creative Arts","475","320","0","790"
"10007842","University of Cumbria","705","350","0","1,055"
"10001883","De Montfort University","1,455","1,240","0","2,695"
"10007851","University of Derby","1,720","1,195","0","2,915"
"10007852","The University of Dundee","1,795","1,380","0","3,175"
"10007143","University of Durham","2,490","2,015","0","4,505"
"10007789","The University of East Anglia","2,115","1,555","0","3,670"
"10007144","The University of East London","935","795","0","1,730"
"10007823","Edge Hill University","1,290","680","0","1,970"
"10007772","Edinburgh Napier University","935","795","0","1,730"
"10007790","The University of Edinburgh","5,250","4,720","0","9,970"
"10007791","The University of Essex","1,400","1,130","0","2,525"
"10007792","The University of Exeter","2,250","1,955","0","4,205"
"10008640","Falmouth University","275","225","0","500"
"10004511","The National Film and Television School","40","55","0","95"
"10007762","Glasgow Caledonian University","1,035","605","0","1,640"
"10002681","Glasgow School of Art","230","220","0","450"
"10007794","The University of Glasgow","3,970","3,300","0","7,270"
"10007145","University of Gloucestershire","720","590","0","1,310"
"10007833","Glyndŵr University","315","245","0","560"
"10002718","Goldsmiths College","915","720","0","1,635"
"10007146","The University of Greenwich","1,220","1,020","0","2,240"
"10007825","Guildhall School of Music and Drama","310","420","0","730"
"10040812","Harper Adams University","325","215","0","540"
"10007764","Heriot-Watt University","905","1,010","0","1,915"
"10007147","University of Hertfordshire","1,675","1,355","0","3,030"
"10007765","Heythrop College","45","65","0","110"
"10007148","The University of Huddersfield","1,070","875","0","1,950"
"10007149","The University of Hull","1,400","1,085","0","2,485"
"10003270","Imperial College of Science, Technology and Medicine","3,620","4,620","0","8,240"
"10007767","Keele University","1,275","780","0","2,050"
"10007150","The University of Kent","2,095","1,820","0","3,915"
"10003645","King's College London","4,160","3,430","0","7,590"
"10003678","Kingston University","1,175","895","0","2,070"
"10007768","The University of Lancaster","1,855","1,670","0","3,525"
"10003854","Leeds Arts University","165","110","0","270"
"10003861","Leeds Beckett University","1,690","1,355","0","3,045"
"10007795","The University of Leeds","4,055","3,485","0","7,540"
"10003863","Leeds Trinity University","275","155","0","430"
"10007796","The University of Leicester","2,085","1,875","0","3,960"
"10007151","The University of Lincoln","890","825","0","1,715"
"10003956","Liverpool Hope University","415","280","0","695"
"10003957","Liverpool John Moores University","1,430","1,265","0","2,695"
"10003945","The Liverpool Institute for Performing Arts","85","80","0","165"
"10006842","The University of Liverpool","3,140","2,695","0","5,840"
"10003958","Liverpool School of Tropical Medicine","250","170","0","420"
"10007162","University of the Arts, London","2,080","1,545","0","3,625"
"10007769","London Business School","490","270","0","765"
"10007797","University of London (Institutes and activities)","470","395","0","865"
"10004048","London Metropolitan University","585","620","0","1,205"
"10004078","London South Bank University","865","735","0","1,600"
"10004063","London School of Economics and Political Science","1,790","1,765","0","3,560"
"10007771","London School of Hygiene and Tropical Medicine","845","500","0","1,345"
"10004113","Loughborough University","1,805","1,765","0","3,570"
"10004180","The Manchester Metropolitan University","2,445","1,965","0","4,410"
"10007798","The University of Manchester","5,180","5,390","0","10,570"
"10004351","Middlesex University","1,045","840","0","1,885"
"10007799","Newcastle University","3,210","2,740","0","5,955"
"10007832","Newman University","195","140","0","335"
"10007138","The University of Northampton","825","540","0","1,365"
"10001282","University of Northumbria at Newcastle","1,710","1,335","0","3,045"
"10004775","Norwich University of the Arts","145","150","0","295"
"10007154","University of Nottingham","3,980","3,545","0","7,520"
"10004797","The Nottingham Trent University","2,055","1,620","0","3,675"
"10007773","The Open University","5,280","3,500","0","8,780"
"10004930","Oxford Brookes University","1,495","1,050","0","2,545"
"10007774","The University of Oxford","6,625","6,415","0","13,040"
"10005127","Arts University Plymouth","155","100","0","255"
"10007801","University of Plymouth","1,680","1,240","0","2,915"
"10007155","The University of Portsmouth","2,145","1,760","0","3,905"
"10005337","Queen Margaret University, Edinburgh","315","160","0","475"
"10007775","Queen Mary University of London","2,175","2,075","0","4,250"
"10005389","Ravensbourne University London","140","155","0","290"
"10007802","The University of Reading","2,210","1,745","0","3,955"
"10005500","Robert Gordon University","960","610","0","1,575"
"10007776","Roehampton University","750","440","0","1,195"
"10005523","Rose Bruford College of Theatre and Performance","80","55","0","135"
"10007835","Royal Academy of Music","165","240","0","405"
"10005545","Royal Agricultural University","110","110","0","225"
"10007777","Royal College of Art","205","190","0","395"
"10007778","Royal College of Music","165","245","0","410"
"10005561","Royal Conservatoire of Scotland","220","240","0","460"
"10007816","The Royal Central School of Speech and Drama","95","60","0","155"
"10005553","Royal Holloway and Bedford New College","1,085","1,005","0","2,090"
"10007837","Royal Northern College of Music","235","265","0","500"
"10007779","The Royal Veterinary College","595","300","0","895"
"10007803","The University of St. Andrews","1,295","1,275","0","2,570"
"10007782","St George's, University of London","575","350","0","925"
"10008026","St Mary's University College","80","75","0","155"
"10007843","St Mary's University, Twickenham","495","345","0","840"
"10007156","The University of Salford","1,050","995","0","2,045"
"10007780","SOAS University of London","640","575","0","1,210"
"10005700","SRUC","675","565","0","1,240"
"10005790","Sheffield Hallam University","2,565","1,840","0","4,405"
"10007157","The University of Sheffield","3,705","3,535","0","7,240"
"10006022","Solent University","710","795","0","1,505"
"10007158","The University of Southampton","3,325","3,030","0","6,355"
"10006299","Staffordshire University","920","755","0","1,680"
"10007804","The University of Stirling","1,255","830","0","2,080"
"10037449","University of St Mark and St John","230","120","0","350"
"10008010","Stranmillis University College","110","75","0","190"
"10007805","The University of Strathclyde","1,735","1,715","0","3,450"
"10014001","University of Suffolk","270","160","0","430"
"10007159","The University of Sunderland","1,110","825","0","1,935"
"10007160","The University of Surrey","1,510","1,370","0","2,885"
"10007806","The University of Sussex","1,510","1,405","0","2,915"
"10007855","Swansea University","1,610","1,340","0","2,950"
"10007161","Teesside University","1,095","705","0","1,800"
"10008017","Trinity Laban Conservatoire of Music and Dance","260","255","0","515"
"10007858","University of Wales Trinity Saint David","865","630","0","1,495"
"10007114","University of the Highlands and Islands","135","95","0","225"
"10007807","Ulster University","1,395","1,170","0","2,565"
"10007784","University College London","6,365","5,850","0","12,215"
"10007793","University of South Wales","1,725","1,520","0","3,245"
"10008574","The University of Wales (central functions)","85","40","0","125"
"10007163","The University of Warwick","3,235","3,075","0","6,310"
"10007164","University of the West of England, Bristol","2,050","1,485","0","3,530"
"10007800","The University of the West of Scotland","885","640","0","1,520"
"10006566","The University of West London","660","580","0","1,235"
"10007165","The University of Westminster","1,450","1,270","0","2,715"
"10003614","The University of Winchester","725","480","0","1,205"
"10007166","The University of Wolverhampton","1,450","965","0","2,415"
"10007139","University of Worcester","1,365","720","0","2,085"
"10007657","Writtle University College","210","105","0","315"
"10007713","York St John University","480","310","0","790"
"10007167","The University of York","2,040","1,865","0","3,905"
"","Total","222,200","188,315","0","410,515"
